PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,29,4-7,0-2,2-2,3,6,9,7,2,2,1,1,+32,10
K. Durant,27,3-9,1-4,7-7,0,11,11,6,2,2,1,0,+27,14
Z. Pachulia,14,2-4,0-0,2-2,2,5,7,1,0,0,0,1,+18,6
S. Curry,30,6-11,2-6,8-8,2,4,6,6,1,0,1,1,+34,22
K. Thompson,26,10-18,4-10,1-2,0,1,1,0,2,0,2,3,+24,25
D. West,15,2-5,0-0,3-3,0,4,4,2,1,1,4,2,-5,7
J. McAdoo,8,0-4,0-0,0-0,1,0,1,0,0,0,0,0,+4,0
K. Looney,10,0-1,0-0,1-2,1,6,7,1,0,2,0,1,+7,1
A. Iguodala,18,3-7,3-5,0-0,0,0,0,4,1,0,0,2,+14,9
J. McGee,14,3-4,0-0,1-4,1,4,5,0,0,3,2,3,+8,7
P. McCaw,12,2-8,1-4,0-0,0,0,0,0,0,0,0,1,+8,5
S. Livingston,16,1-2,0-0,2-2,1,2,3,3,0,0,1,1,-2,4
I. Clark,21,4-10,2-5,0-0,1,5,6,1,0,0,0,1,+16,10