Name, File, OScore
10/25/16 SA,161025SA.csv,129
10/28/16 NO,161028NO.csv,114
10/30/16 PHX,161030PHX.csv,100
11/01/16 POR,161101POR.csv,104
11/03/16 OKC,161103OKC.csv,96
11/04/16 LAL,161104LAL.csv,117
11/07/16 NO,161107NO.csv,106
11/09/16 DAL,161109DAL.csv,95
11/10/16 DEN,161110DEN.csv,101
11/13/16 PHX,161113PHX.csv,120
11/16/16 TOR,161116TOR.csv,121
11/18/16 BOS,161118BOS.csv,88
11/19/16 MIL,161119MIL.csv,121
11/21/16 IND,161121IND.csv,83
11/23/16 LAL,161123LAL.csv,106
11/25/16 LAL,161125LAL.csv,85
11/26/16 MIN,161126MIN.csv,102